No,prompt,group,name_or_number,contract_arr,group_hash,status,is_chargeable,joined_at_from,joined_at_to,retired_at_from,retired_at_to
71,総務部に所属している従業員はいますか?,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,,総務部,,,,,,
72,営業本部のメンバー一覧を表示してください。,"[""従業員500名環境"", ""Group A"", ""営業本部"", ""総務部"", ""Gao Blue""]",,,営業本部,,,,,,
73,技術開発チームに現在在籍中の社員を確認したいです。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""技術開発チーム""]",,,技術開発チーム,在籍中,,,,,
74,人事グループの従業員を検索してください。,"[""従業員500名環境"", ""人事グループ"", ""Group B"", ""総務部"", ""Gao Blue""]",,,人事グループ,,,,,,
75,経理課に在籍しているスタッフを教えてください。,"[""経理課"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,,経理課,在籍中,,,,,
76,製造部門の社員情報を表示してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""製造部門"", ""Gao Blue""]",,,製造部門,,,,,,
77,マーケティンググループの従業員一覧を出してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""マーケティンググループ""]",,,マーケティンググループ,,,,,,
78,法務部に所属する従業員が知りたいです。,"[""従業員500名環境"", ""Group A"", ""法務部"", ""総務部"", ""Gao Blue""]",,,法務部,,,,,,
79,商品企画チームにいるスタッフを検索したいです。,"[""商品企画チーム"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,,商品企画チーム,,,,,,
80,物流チームに現在登録されている社員を教えてください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""物流チーム"", ""Gao Blue""]",,,物流チーム,在籍中,,,,,
81,顧客対応部の在籍者は誰ですか？,"[""従業員500名環境"", ""Group A"", ""Group B"", ""顧客対応部"", ""Gao Blue""]",,,顧客対応部,在籍中,,,,,
82,品質管理課の社員をリストアップしてください,"[""従業員500名環境"", ""品質管理課"", ""Group B"", ""総務部"", ""Gao Blue""]",,,品質管理課,,,,,,
83,研究開発部にいるメンバーを確認してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""研究開発部""]",,,研究開発部,,,,,,
84,営業推進部の全従業員を表示してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業推進部"", ""Gao Blue""]",,,営業推進部,,,,,,
85,サポートチームのスタッフ情報を確認したいです。,"[""従業員500名環境"", ""Group A"", ""サポートチーム"", ""総務部"", ""Gao Blue""]",,,サポートチーム,,,,,,
86,教育研修部に属する社員を教えてください。,"[""教育研修部"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,,教育研修部,,,,,,
87,サポートチームのスタッフ情報を確認したいです。,"[""従業員500名環境"", ""Group A"", ""サポートチーム"", ""総務部"", ""Gao Blue""]",,,サポートチーム,,,,,,
88,海外事業部の従業員一覧を見せてください。,"[""従業員500名環境"", ""海外事業部"", ""Group B"", ""総務部"", ""Gao Blue""]",,,海外事業部,,,,,,
89,情報システム課に登録されている社員を表示してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""情報システム課""]",,,情報システム課,,,,,,
90,経営戦略室に所属している全社員を教えてください。,"[""経営戦略室"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,,経営戦略室,,,,,,
91,総務部に所属している正社員を探しています。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,正社員,総務部,,,,,,
92,技術開発チームの中にアルバイトとして働いている人はいますか？,"[""従業員500名環境"", ""技術開発チーム"", ""Group B"", ""総務部"", ""Gao Blue""]",,アルバイト,技術開発チーム,,,,,,
93,営業本部にいる契約社員の山田さんを確認したいです。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""営業本部"", ""Gao Blue""]",山田,契約社員,営業本部,,,,,,
94,経理課の役員の情報を教えてください。,"[""経理課"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",,役員,経理課,,,,,,
95,マーケティンググループに在籍している業務委託の従業員は誰ですか？,"[""従業員500名環境"", ""Group A"", ""Group B"", ""マーケティンググループ"", ""Gao Blue""]",,業務委託,マーケティンググループ,在籍中,,,,,
96,品質管理課でその他として働く佐藤さんはまだ在籍していますか？,"[""品質管理課"", ""Group A"", ""Group B"", ""総務部"", ""Gao Blue""]",佐藤,その他,品質管理課,在籍中,,,,,
97,商品企画チームに在籍しているパートの従業員一覧をください。,"[""従業員500名環境"", ""商品企画チーム"", ""Group B"", ""総務部"", ""Gao Blue""]",,パート,商品企画チーム,在籍中,,,,,
98,教育研修部のパート従業員を抽出してください。,"[""従業員500名環境"", ""Group A"", ""Group B"", ""総務部"", ""教育研修部""]",,パート,教育研修部,,,,,,
99,情報システム課の中で使用人兼務役員として登録された従業員を教えてください,"[""従業員500名環境"", ""Group A"", ""情報システム課"", ""総務部"", ""Gao Blue""]",,使用人兼務役員,情報システム課,,,,,,
100,経営戦略室に在籍する業務委託の田辺さんについて調べてください。,"[""従業員500名環境"", ""経営戦略室"", ""Group B"", ""総務部"", ""Gao Blue""]",田辺,業務委託,経営戦略室,在籍中,,,,,
