No,prompt,group_id,authority_type,specified_name_or_number,specified_login_address,encrypted_selected_group_id,selected_authority_type_option,selected_connected_with_option,selected_working_status_option,selected_joined_at_from,selected_joined_at_to,selected_retired_at_from,selected_retired_at_to
1,氏名か従業員番号かいずれに”A1”の文数字が入っている一般管理者,,"[""一般従業員"",""全権管理者"",""一般管理者""]",A1,,,一般管理者,,,,,,
2,氏名に”履歴１”の漢字が入っているが従業員番号が”A1”の文数字が入っていない全権管理者,,"[""一般従業員"",""全権管理者"",""一般管理者""]",履歴１,,,全権管理者,,,,,,
3,田中さんは来週入社予定,,,田中,,,,,入社予定,,,2025/05/19,2025/05/24
4,名前または従業員番号に文字「A1」が含まれている従業員,,,A1,,,,,,,,,
5,名前に「田中」が含まれている従業員を探しています,,,田中,,,,,,,,,
6,従業員番号に「123」が含まれている従業員は誰ですか？,,,123,,,,,,,,,
7,名前または従業員番号に部分一致する文字列「abc」がある従業員,,,abc,,,,,,,,,
8,従業員の名前またはIDに「XYZ」が含まれる場合に検索,,,XYZ,,,,,,,,,
9,名前または従業員番号に「A1」という文字列を含む社員を探してください。,,,A1,,,,,,,,,
10,従業員番号か氏名に「001」が入っている人はいますか？,,,001,,,,,,,,,
11,氏名またはIDに「佐藤」という文字が含まれている従業員をリストアップしてください。,,,佐藤,,,,,,,,,
12,氏名・従業員番号のいずれかに「X7」という文字列が含まれる場合にフィルターしてください。,,,X7,,,,,,,,,
13,文字列「abc」が氏名または従業員番号に含まれているすべての社員を表示してください。,,,abc,,,,,,,,,
14,社員の名前かIDの中に「Yamada」が含まれているかどうかを確認してください。,,,Yamada,,,,,,,,,
15,氏名・社員番号に「test」が含まれている社員だけを抽出してください。,,,test,,,,,,,,,
